Pais,Provincia,Departamen,Cabecera,osm_id,display_na,category,type,latlong
Argentina,Corrientes,Capital,Corrientes,"3127758","Corrientes, Departamento Capital, Corrientes, Argentina",boundary,administrative,"-27.4687004,-58.8311982"
Argentina,Corrientes,Bella Vista,Bella Vista,"3125258","Municipio de Bella Vista, Departamento Bella Vista, Corrientes, 3432, Argentina",boundary,administrative,"-28.5073653,-59.0452284"
Argentina,Corrientes,Departartamento Beron de Astrada,San Antonio de Itati,"3126749","Municipio de San Antonio de Itatí, Departartamento Berón de Astrada, Corrientes, Argentina",boundary,administrative,"-27.5502367,-57.5283607"
Argentina,Corrientes,Concepcion,Concepcion,"3130063","Municipio de Concepción, Departamento Concepción, Corrientes, 3423, Argentina",boundary,administrative,"-28.3930294,-57.8868493"
Argentina,Corrientes,Curuzu Cuatia,Curuzu Cuatia,"3134569","Municipio de Curuzú Cuatiá, Departamento Curuzú Cuatiá, Corrientes, Argentina",boundary,administrative,"-29.7913375,-58.0498307"
Argentina,Corrientes,Empedrado,Empedrado,"3134599","Municipio de Empedrado, Departamento Empedrado, Corrientes, Argentina",boundary,administrative,"-27.9542622,-58.8089124"
Argentina,Corrientes,Esquina,Esquina,"3135965","Municipio de Esquina, Departamento Esquina, Corrientes, Argentina",boundary,administrative,"-30.0170807,-59.5340904"
Argentina,Corrientes,Departamento General Alvear,Alvear,"3138396","Municipio de Alvear, Departamento General Alvear, Corrientes, 3344, Argentina",boundary,administrative,"-29.0989143,-56.5534621"
Argentina,Corrientes,Departamento General Paz,Caa Cati,"3139058","Municipio de Nuestra Señora del Rosario de Caá Catí, Departamento General Paz, Corrientes, 3407, Argentina",boundary,administrative,"-27.7521173,-57.6219992"
Argentina,Corrientes,Goya,Goya,"3144223","Municipio de Goya, Departamento Goya, Corrientes, Argentina",boundary,administrative,"-29.1444046,-59.2649825"
Argentina,Corrientes,Itati,Itati,"3147849","Municipio de Itatí, Departamento Itatí, Corrientes, 3414, Argentina",boundary,administrative,"-27.2690228,-58.242766"
Argentina,Corrientes,Ituzaingo,Ituzaingo,"3149442","Municipio de Ituzaingó, Departamento Ituzaingó, Corrientes, Argentina",boundary,administrative,"-27.5896182,-56.6893413"
Argentina,Corrientes,Lavalle,Lavalle,"3153109","Municipio de Lavalle, Departamento Lavalle, Corrientes, 3443, Argentina",boundary,administrative,"-29.0275862,-59.1871044"
Argentina,Corrientes,Mburucuya,Mburucuya,"3154031","Municipio de Mburucuyá, Departamento Mburucuyá, Corrientes, 3427, Argentina",boundary,administrative,"-28.0465164,-58.2303422"
Argentina,Corrientes,Mercedes,Mercedes,"3155277","Municipio de Mercedes, Departamento Mercedes, Corrientes, Argentina",boundary,administrative,"-29.1835645,-58.0799951"
Argentina,Corrientes,Monte Caseros,Monte Caseros,"3156447","Municipio de Monte Caseros, Departamento Monte Caseros, Corrientes, 3220, Argentina",boundary,administrative,"-30.2496832,-57.6294418"
Argentina,Corrientes,Paso de los Libres,Paso de los Libres,"1016469550","Paso de los Libres, Uruguay, Barrio de Sub-Oficiales Yapeyu, Municipio de Paso de los Libres, Departamento Paso de los Libres, Corrientes, W3230FLP, Argentina",boundary,administrative,"-29.7149295,-57.1005929"
Argentina,Corrientes,Saladas,Saladas,"3158744","Saladas, Departamento Saladas, Corrientes, Argentina",boundary,administrative,"-28.2547059,-58.6233333"
Argentina,Corrientes,San Cosme,San Cosme,"3161606","Municipio de San Cosme, Departamento San Cosme, Corrientes, Argentina",boundary,administrative,"-27.3703186,-58.5125679"
Argentina,Corrientes,San Luis del Palmar,San Luis del Palmar,"9581445238","Escuela 109 Armada Argentina, Ruta Provincial 4, Municipio de San Luis del Palmar, Departamento San Luis del Palmar, Corrientes, 3403, Argentina",boundary,administrative,"-27.5028584,-58.5309646"
Argentina,Corrientes,Departamento San Martin,La Cruz,"3885415659","Ruinas Jesuíticas de la Asunción de la Cruz de Mbororé, San Martín, Municipio de La Cruz, Departamento San Martín, Corrientes, 3346, Argentina",boundary,administrative,"-29.1784567,-56.6382532"
Argentina,Corrientes,Departamento San Miguel,San Miguel,"3149505","Municipio de San Miguel, Departamento San Miguel, Corrientes, Argentina",boundary,administrative,"-27.9980337,-57.5872678"
Argentina,Corrientes,San Roque,San Roque,"9389182","San Roque, Municipio de San Roque, Departamento San Roque, Corrientes, 3448, Argentina",boundary,administrative,"-28.5709194,-58.7119707"
Argentina,Corrientes,Santo Tome,Santo Tome,"2294420","Santo Tomé, Municipio de Santo Tomé, Departamento Santo Tomé, Corrientes, 3340, Argentina",boundary,administrative,"-28.55676325,-56.05398052939918"
Argentina,Corrientes,Sauce,Sauce,"14102444","Sauce, Municipio de Sauce, Departamento Sauce, Corrientes, Argentina",boundary,administrative,"-30.0832901,-58.7884026"
