murdock_name,land_area,atlantic_number15,atlantic_number16,atlantic_number17,atlantic_number18,indian_number15,indian_number16,indian_number17,indian_number18,atlantic_all_years,indian_all_years
ABABDA,155478.9097123778,0,0,0,0,0,0,0,0,0,0
ABARAMBO,6780.70615803379,0,0,0,0,0,0,0,0,0,0
ABE,4031.345281013225,0,0,0,0,0,0,0,0,0,0
ACHOLI,27266.39825020345,0,0,0,0,0,0,0,0,0,0
ADAMAWA,52749.42431977099,0,0,0,0,0,0,0,0,0,0
ADANGME,4677.364387035948,0,0,0,10354,0,0,0,0,10354,0
ADARAWA,24362.0099920044,0,0,0,0,0,0,0,0,0,0
ADELE,1425.687019640919,0,0,0,29,0,0,0,0,29,0
AFAR,120873.4757238236,0,0,0,0,0,0,0,0,0,0
AFO,1831.095261324365,0,0,0,0,0,0,0,0,0,0
AFUSARE,945.914125689844,0,0,0,0,0,0,0,0,0,0
AHAGGAREN,497216.3768222321,0,0,0,0,0,0,0,0,0,0
AJUKRU,1893.909337754993,0,0,0,0,0,0,0,0,0,0
AKPOSO,2588.683074827215,0,0,0,0,0,0,0,0,0,0
AKYEM,13420.20307992716,0,0,16780,2334,0,0,0,0,19114,0
ALAGYA,1595.628638036363,0,0,0,0,0,0,0,0,0,0
ALGERIANS,84862.47997316415,0,0,0,0,0,0,0,0,0,0
ALUR,6866.616739127536,0,0,0,0,0,0,0,0,0,0
AMARAR,37745.41786762131,0,0,0,0,0,0,0,0,0,0
AMBA,7046.492892296346,0,590,0,1293,0,0,0,0,1883,0
AMBO,95740.46389111386,226,0,0,162,0,0,0,0,388,0
AMER,33925.4425652233,0,0,0,0,0,0,0,0,0,0
AMHARA,127273.4992663757,0,0,0,0,0,0,0,0,0,0
ANA,4512.359271094006,0,0,0,871,0,0,0,0,871,0
ANAG,13803.69438321083,0,0,0,0,0,0,0,0,0,0
ANGAS,15757.22702203262,0,0,0,0,0,0,0,0,0,0
ANTAISAKA,13979.54872056895,0,301,260,1854,0,0,1066,1028,2415,2094
ANTANDROY,21561.16316025795,0,465,401,2859,0,0,1644,1585,3725,3229
ANTESSAR,27304.90045651264,0,0,0,0,0,0,0,0,0,0
ANUAK,27540.58213313777,0,0,0,0,0,0,0,0,0,0
ANYANG,6692.782474612894,0,0,0,9431,0,0,0,0,9431,0
ANYI,32401.75688439244,0,0,0,0,0,0,0,0,0,0
ARAD,29153.81597191737,0,0,0,0,0,0,0,0,0,0
ARAGO,4139.075557501163,0,0,0,0,0,0,0,0,0,0
ARI,2773.075348075819,0,0,0,0,0,0,0,0,0,0
ARUSI,114600.5909568937,0,0,0,0,10,5,11,17,0,43
ASBEN,464409.9737198858,0,0,0,17,0,0,0,0,17,0
ASHANTI,60441.4087962987,0,31499,199900,157211,0,0,0,0,388610,0
ASSINI,4718.865034091734,0,0,0,0,0,0,0,0,0,0
ATTA,41498.51364750912,0,0,0,0,0,0,0,0,0,0
ATTIE,5401.58933010272,0,0,0,0,0,0,0,0,0,0
ATYUTI,3425.133330801213,0,0,0,0,0,0,0,0,0,0
AULLIMINDEN,317587.3376652723,0,0,0,0,0,0,0,0,0,0
AUSHI,44079.03295687797,0,0,0,0,0,0,0,0,0,0
AUYOKAWA,10309.09830818111,0,0,0,0,0,0,0,0,0,0
AVATIME,235.0217150235052,0,0,0,0,0,0,0,0,0,0
AVIKAM,2922.029258137256,0,0,0,4757,0,0,0,0,4757,0
AWIYA,6195.294228549427,0,0,0,0,0,0,0,0,0,0
AZANDE,148103.4031138655,0,0,0,0,0,0,0,0,0,0
AZJER,385106.2021292363,0,0,0,0,0,0,0,0,0,0
BABUKUR,2993.120091235397,0,0,0,0,0,0,0,0,0,0
BABWA,35329.39706395203,0,0,0,0,0,0,0,0,0,0
BACHAMA,2293.549692315054,0,0,0,0,0,0,0,0,0,0
BAGA,4381.262877255782,0,0,0,45,0,0,0,0,45,0
BAGIRMI,23856.56425613247,0,0,0,13,0,0,0,0,13,0
BAHARIYA,30049.8514923135,0,0,0,0,0,0,0,0,0,0
BAJUN,8629.258690254836,0,0,0,0,0,0,0,0,0,0
BAKAKARI,10056.88480427175,0,0,0,0,0,0,0,0,0,0
BAKO,10815.2182048546,0,0,0,0,0,0,0,0,0,0
BAKWE,14407.60270685953,0,0,0,0,0,0,0,0,0,0
BALANTE,5564.78168152017,228,28324,0,1547,0,0,0,0,30099,0
BAMBARA,128533.1776738905,0,144,212305,11507,0,0,0,0,223956,0
BAMILEKE,7438.106912442218,0,0,0,753,0,0,0,0,753,0
BANDA,266613.4314753488,0,0,0,9,0,0,0,0,9,0
BANGANDU,2494.777311503371,0,0,0,0,0,0,0,0,0,0
BANGBA,7677.810576989556,0,0,0,118,0,0,0,0,118,0
BANGI,50230.08161788561,0,0,0,0,0,0,0,0,0,0
BANYUN,1439.437352742345,3041,6528,0,35066,0,0,0,0,44635,0
BANZA,6877.503308742321,0,0,0,0,0,0,0,0,0,0
BANZIRI,11794.58779697523,0,0,0,0,0,0,0,0,0,0
BARA,79930.13728285293,0,1724,1486,10599,0,0,6096,5877,13809,11973
BARABRA,127956.1514476622,0,0,0,0,0,0,0,0,0,0
BARARETTA,226085.8378633324,0,0,0,0,20,10,21,34,0,85
BAREA,3314.790057302989,0,0,0,0,0,0,0,0,0,0
BARGU,56900.54656454916,6,0,19918,1784,0,0,0,0,21708,0
BARI,10250.00304524022,0,0,490,0,0,0,0,0,490,0
BASA,2628.573360499338,0,0,196,577,0,0,0,0,773,0
BASARI,3393.719451153205,0,0,0,0,0,0,0,0,0,0
BASHI,12117.57751413456,0,0,0,0,0,0,0,0,0,0
BASILA,1712.597946668332,0,0,0,0,0,0,0,0,0,0
BASSA,21090.74091276795,0,0,0,3542,0,0,0,0,3542,0
BATA,6478.22576525443,0,0,0,0,0,0,0,0,0,0
BATAHIN,31104.88853480934,0,0,0,0,0,0,0,0,0,0
BATI,10838.72674448298,0,0,0,0,0,0,0,0,0,0
BAUCHI,16311.12688225006,0,0,0,0,0,0,0,0,0,0
BAULE,28970.02806825127,0,0,0,0,0,0,0,0,0,0
BAYA,114707.4191108794,0,0,0,0,0,0,0,0,0,0
BEDE,9368.666364500894,0,0,0,108,0,0,0,0,108,0
BEDERIA,31894.44477125931,0,0,0,0,0,0,0,0,0,0
BEMBA,50325.67097604246,0,0,0,0,716,358,769,1202,0,3045
BENA,15163.46854466169,0,0,0,0,368,184,395,618,0,1565
BENDE,22006.95168909477,0,0,0,0,61,31,66,103,0,261
BERABER,59698.24607908913,0,0,0,0,0,0,0,0,0,0
BERABISH,290066.768572963,0,0,0,0,0,0,0,0,0,0
BERGDAMA,30293.29075122323,0,0,0,0,0,0,0,0,0,0
BERIBERI,30410.89188122423,0,0,0,0,0,0,0,0,0,0
BERTA,16145.08462232287,0,0,0,0,0,0,0,0,0,0
BERTI,40799.07190194573,0,0,0,0,0,0,0,0,0,0
BETE,18131.96102720265,0,0,273,0,0,0,0,0,273,0
BETSILEO,32412.20319275362,0,699,602,4298,0,0,2472,2383,5599,4855
BETSIMISARAKA,58372.63166438562,0,1259,1085,7740,0,0,4452,4292,10084,8744
BIAFADA,4871.090267705701,6539,7657,991,1326,0,0,0,0,16513,0
BIDEYAT,568541.8334554085,0,0,0,0,0,0,0,0,0,0
BIJOGO,1479.214733261079,750,5198,1982,663,0,0,0,0,8593,0
BINZA,15491.94380000518,0,0,0,0,0,0,0,0,0,0
BIRA,24884.79432788389,0,0,0,0,0,0,0,0,0,0
BIRIFON,6631.08970469801,0,0,0,0,0,0,0,0,0,0
BIRKED,16439.950113263,0,0,0,0,0,0,0,0,0,0
BIROM,3283.812050064977,0,0,0,36,0,0,0,0,36,0
BISA,37836.64936223577,0,0,0,563,2864,1432,3075,4809,563,12180
BISHARIN,116021.129260584,0,0,0,0,0,0,0,0,0,0
BOBO,28824.20822280971,0,0,5945,78,0,0,0,0,6023,0
BOFI,2895.587938304997,0,0,0,0,0,0,0,0,0,0
BOGO,2471.512567835014,0,0,0,0,0,0,0,0,0,0
BOKI,3587.901341280127,0,0,0,36,0,0,0,0,36,0
BOLEWA,7779.597154442238,0,0,0,90,0,0,0,0,90,0
BOMITABA,7511.65541190898,0,0,0,0,0,0,0,0,0,0
BONDEI,1794.710801143023,0,0,0,0,982,491,1054,1649,0,4176
BONDJO,16278.83101714696,0,0,0,0,0,0,0,0,0,0
BONGO,22414.24696142114,0,0,0,0,0,0,0,0,0,0
BONI,13943.14309067135,0,0,0,0,0,0,0,0,0,0
BORAN,138935.3581917995,0,0,0,0,12,6,13,21,0,52
BORROM,3658.76335211999,0,0,0,0,0,0,0,0,0,0
BOSAKA,26518.95064473357,0,0,0,0,0,0,0,0,0,0
BOZO,10519.44482567647,0,0,0,0,0,0,0,0,0,0
BRONG,20390.10041050737,0,0,0,0,0,0,0,0,0,0
BUA,16055.59429384295,0,0,0,0,0,0,0,0,0,0
BUBI,2014.259346806839,0,0,0,0,0,0,0,0,0,0
BUDJA,29559.87978635883,0,0,0,0,0,0,0,0,0,0
BUDU,8100.006833946279,0,0,0,0,0,0,0,0,0,0
BUDUMA,3061.830449979087,0,0,0,13,0,0,0,0,13,0
BUEM,2419.823951801037,0,0,0,0,0,0,0,0,0,0
BUILSA,2459.12269019847,0,0,0,0,0,0,0,0,0,0
BULGEDA,141632.6061979033,0,0,0,0,0,0,0,0,0,0
BULOM,3347.704749355799,0,0,720,1428,0,0,0,0,2148,0
BUNDA,9345.769681305894,0,0,0,0,0,0,0,0,0,0
BUNU,8665.638675536808,0,0,0,2164,0,0,0,0,2164,0
BURA,6222.321502032162,0,0,0,0,0,0,0,0,0,0
BURUNGI,3483.45572698708,0,0,0,0,0,0,0,0,0,0
BUSA,23862.49960775928,0,0,0,18,0,0,0,0,18,0
BUSANSI,9494.388404193209,0,0,0,0,0,0,0,0,0,0
BUTAWA,4595.986706894642,0,0,0,0,0,0,0,0,0,0
BUYE,78823.69810393869,0,0,0,0,1514,757,1625,2542,0,6438
BWAKA,55681.59800267332,0,0,0,0,0,0,0,0,0,0
CAPE HOTTENTOT,174414.295291575,0,0,0,0,0,0,0,0,0,0
CHAAMBA,249703.8502251713,0,0,0,0,0,0,0,0,0,0
CHAGA,6514.441384040232,0,0,0,0,41,20,44,69,0,174
CHAKOSSI,2145.760116647939,0,0,0,0,0,0,0,0,0,0
CHAMBA,9873.772266187816,0,0,4812,6906,0,0,0,0,11718,0
CHEWA,79702.55586253738,0,0,0,8955,41,20,44,69,8955,174
CHIGA,4437.052480397031,0,0,0,0,0,0,0,0,0,0
CHOKWE,223137.554370579,0,0,0,590,0,0,0,0,590,0
CHOPI,12987.04633146026,0,0,0,16358,0,0,0,0,16358,0
CHUABO,46959.7221480023,0,0,0,779,0,0,0,0,779,0
COMORIANS,2063.378337932136,0,0,0,0,0,0,0,0,0,0
CYRENAICANS,17873.12166027106,0,0,0,0,0,0,0,0,0,0
DAFI,6393.601889841683,0,0,0,235,0,0,0,0,235,0
DAGARI,7768.963244530463,0,0,0,2324,0,0,0,0,2324,0
DAGOMBA,21275.44720347441,0,0,1459,0,0,0,0,0,1459,0
DAGU,11989.78480081356,0,0,0,0,0,0,0,0,0,0
DAKA,2301.486442686044,0,0,0,0,0,0,0,0,0,0
DAKHLA,24148.01049367352,0,0,0,0,0,0,0,0,0,0
DAMA,3197.401829245184,0,0,0,0,0,0,0,0,0,0
DAN,9768.259130227249,0,0,273,40,0,0,0,0,313,0
DARASA,10078.62334908695,0,0,0,0,0,0,0,0,0,0
DARI,6159.277656729928,0,0,0,0,0,0,0,0,0,0
DAZA,177194.9935446754,0,0,0,0,0,0,0,0,0,0
DEFORO,4904.498833748829,0,0,0,0,0,0,0,0,0,0
DEKAKIRI,7075.425354186759,0,0,0,0,0,0,0,0,0,0
DELIM,116931.016315652,0,0,0,0,0,0,0,0,0,0
DENDI,5578.609722970307,0,0,0,0,0,0,0,0,0,0
DERA,1508.543567968952,0,0,0,0,0,0,0,0,0,0
DIALONKE,20139.56955481768,0,0,0,0,0,0,0,0,0,0
DIAN,2271.322867133756,0,0,0,157,0,0,0,0,157,0
DIDA,16252.26199057108,0,0,0,0,0,0,0,0,0,0
DIDINGA,9279.667672561603,0,0,0,0,0,0,0,0,0,0
DIGO,5537.617837550829,0,0,0,0,2046,1023,2196,3435,0,8700
DILLING,15406.166261112,0,0,0,0,0,0,0,0,0,0
DINKA,147579.2611623611,0,0,0,0,0,0,0,0,0,0
DIOLA,8564.662915428049,0,0,352,121,0,0,0,0,473,0
DIULA,5126.535681630812,0,0,0,0,0,0,0,0,0,0
DOGON,25268.39604070399,0,0,0,0,0,0,0,0,0,0
DOROBO,3973.194307895614,0,0,0,0,0,0,0,0,0,0
DOROSIE,4620.270092560456,0,0,0,0,0,0,0,0,0,0
DRAWA,14713.32929491033,0,0,0,0,0,0,0,0,0,0
DUAISH,64875.46498734307,0,0,0,6,0,0,0,0,6,0
DUALA,6022.19453597787,0,0,0,5417,0,0,0,0,5417,0
DUI-MENIA,55764.48923147149,0,0,0,0,0,0,0,0,0,0
DUMA,58343.85504947142,0,0,0,1112,0,0,0,0,1112,0
DURU,10952.81490636537,0,0,0,0,0,0,0,0,0,0
DURUMA,2439.36084612515,0,0,0,0,266,133,286,447,0,1132
DZEM,62028.54829205888,0,0,0,0,0,0,0,0,0,0
DZING,11319.06992993673,0,0,0,0,0,0,0,0,0,0
EBRIE,3271.476645722712,0,0,0,36,0,0,0,0,36,0
EDO,14683.09024845902,0,0,10389,2308,0,0,0,0,12697,0
EGBA,28566.58344683461,0,0,0,47,0,0,0,0,47,0
EGEDE,1494.394194321595,0,0,0,0,0,0,0,0,0,0
EGYPTIANS,125518.972114981,0,0,0,0,0,0,0,0,0,0
EKITI,22407.65973743387,0,0,0,0,0,0,0,0,0,0
EKOI,6749.457935718308,0,0,392,1100,0,0,0,0,1492,0
EKONDA,66480.46879773129,0,0,0,118,0,0,0,0,118,0
ESA,45075.51637136846,0,0,0,0,0,0,0,0,0,0
EWE,15942.67769503848,12,60342,494825,45903,0,0,0,0,601082,0
FAJULU,15329.30926200562,0,0,0,0,0,0,0,0,0,0
FALI,3067.225199339444,0,0,0,0,0,0,0,0,0,0
FANG,169050.635294606,0,0,1619,241,0,0,0,0,1860,0
FANG (Cameroon only),,232,5937,0,0,0,0,0,0,6169,0
FANTI,6280.302342917877,0,0,20428,1057,0,0,0,0,21485,0
FANYAN,7330.920508339507,0,0,0,0,0,0,0,0,0,0
FERTIT,16877.86548693337,0,0,0,0,0,0,0,0,0,0
FEZARA,58789.35468913146,0,0,0,0,0,0,0,0,0,0
FEZZAN,144277.9702414044,0,0,0,0,0,0,0,0,0,0
FIA,6711.656395383877,0,0,0,188,0,0,0,0,188,0
FIGIG,13189.23605401358,0,0,0,0,0,0,0,0,0,0
FILALA,17226.98044112893,0,0,0,0,0,0,0,0,0,0
FIPA,13914.98056964021,0,0,0,0,532,266,571,893,0,2262
FON,22676.35825429556,17,85828,703823,65290,0,0,0,0,854958,0
FOUTADJALON,74029.517415407,496,121,9057,18462,0,0,0,0,28136,0
FOUTATORO,52548.72766460432,0,0,26995,1750,0,0,0,0,28745,0
FUNGON,4257.424081753073,0,0,0,0,0,0,0,0,0,0
FUR,56093.45853291681,0,0,0,0,0,0,0,0,0,0
FUT,1628.442730909057,0,0,0,94,0,0,0,0,94,0
GA,1680.910926047111,0,0,0,0,0,0,0,0,0,0
GAALIIN,59193.70900595701,0,0,0,0,0,0,0,0,0,0
GABERI,9968.117516263455,0,0,0,0,0,0,0,0,0,0
GADAMES,8773.232123370864,0,0,0,0,0,0,0,0,0,0
GAFSA,3516.715330514571,0,0,0,0,0,0,0,0,0,0
GAGU,3025.614573026014,0,0,0,0,0,0,0,0,0,0
GALIM,1553.716472349858,0,0,0,0,0,0,0,0,0,0
GAN,3023.756026838714,0,0,0,0,0,0,0,0,0,0
GANDA,43291.27838375982,0,0,0,877,818,409,878,1374,877,3479
GBANDE,7212.406068587801,0,0,0,57,0,0,0,0,57,0
GBARI,30784.91180181955,0,0,980,415,0,0,0,0,1395,0
GERAWA,10250.95740358709,0,0,0,0,0,0,0,0,0,0
GERI,9841.309625027347,0,0,0,0,0,0,0,0,0,0
GIBE,14628.92804574135,0,0,0,0,0,0,0,0,0,0
GIL,40388.40883756306,0,0,0,0,0,0,0,0,0,0
GILI,1918.395470784666,0,0,0,0,0,0,0,0,0,0
GIMIRA,7779.257922647528,0,0,0,0,0,0,0,0,0,0
GIMMA,20966.04526009124,0,0,0,0,0,0,0,0,0,0
GIRYAMA,,0,0,0,0,184,92,198,309,0,783
GISIGA,5800.102870578579,0,0,0,0,0,0,0,0,0,0
GISU,3714.041698007975,0,0,0,0,0,0,0,0,0,0
GOBU,8932.224609616071,0,0,0,0,0,0,0,0,0,0
GOGO,33340.36831853002,0,0,0,0,532,266,571,893,0,2262
GOLA,8882.865006593765,0,0,544,1371,0,0,0,0,1915,0
GOMANI,10401.34121610943,0,0,0,0,0,0,0,0,0,0
GOROA,3783.84367403119,0,0,0,0,0,0,0,0,0,0
GOSHA,4179.286486924449,0,0,0,0,0,0,0,0,0,0
GREBO,10111.01267074232,0,0,0,0,0,0,0,0,0,0
GRUNSHI,13593.7366656263,0,0,0,1191,0,0,0,0,1191,0
GUANCHE,7508.77047870608,0,0,0,0,0,0,0,0,0,0
GUANG,32701.41008738195,0,0,106516,0,0,0,0,0,106516,0
GUDE,5074.865223361596,0,0,12236,377,0,0,0,0,12613,0
GUIN,5493.407638925229,0,0,0,0,0,0,0,0,0,0
GULA,36228.89546801612,0,0,0,34,0,0,0,0,34,0
GULE,11178.42246577903,0,0,0,0,0,0,0,0,0,0
GUMUZ,21260.98252153284,0,0,0,0,0,0,0,0,0,0
GUN,2755.920735277058,41,69693,0,0,0,0,0,0,69734,0
GURAGE,11926.43692052129,0,0,0,0,0,0,0,0,0,0
GURENSI,6674.053902015748,0,0,0,0,0,0,0,0,0,0
GURMA,55168.5732502129,0,0,156630,1020,0,0,0,0,157650,0
GURO,18632.90251868927,0,0,0,0,0,0,0,0,0,0
GUSII,8817.91545654931,0,0,0,0,0,0,0,0,0,0
GWANDARA,6733.820055639422,0,0,0,0,0,0,0,0,0,0
GYRIAMA,6168.820637808236,0,0,0,0,0,0,0,0,0,0
HA,32054.43102938816,0,0,0,0,184,92,198,309,0,783
HABBANIA,93229.17695471161,0,0,0,0,0,0,0,0,0,0
HADENDOWA,99730.0090510364,0,0,0,0,0,0,0,0,0,0
HADIMU,1592.3322722585,0,0,0,0,10085,5042,10827,16935,0,42889
HAMAMA,41691.8490071529,0,0,0,0,0,0,0,0,0,0
HAMAR,42804.28721895425,0,0,0,0,0,0,0,0,0,0
HAMYAN,109327.8037741435,0,0,0,0,0,0,0,0,0,0
HARARI,2617.948486442064,0,0,0,0,0,0,0,0,0,0
HASANIA,12447.6683802629,0,0,0,0,0,0,0,0,0,0
HAUSA,134902.3545302901,0,0,106241,24307,0,0,0,0,130548,0
HAWIYA,110700.7958417262,0,0,0,0,0,0,0,0,0,0
HAYA,13708.15433500284,0,0,0,0,0,0,0,0,0,0
